source_name,start_time,lat,lon,ch4,co2,n2o,pop_max
BP Emsland Lingen Refinery,2015-01-01,52.560863,7.308683,48.55528508,1059092.155,9.272429887,0.26007859916378606
BP Emsland Lingen Refinery,2016-01-01,52.560863,7.308683,48.81838796,1064830.978,9.322673708,0.2614878675070955
BP Emsland Lingen Refinery,2017-01-01,52.560863,7.308683,47.95769601,1046057.489,9.158310431,0.25687770898832457
BP Emsland Lingen Refinery,2018-01-01,52.560863,7.308683,45.08402018,983376.6189,8.60953479,0.2414853252254827
BP Emsland Lingen Refinery,2019-01-01,52.560863,7.308683,45.36708195,989550.7872,8.663590089,0.2430015002201558
BP Emsland Lingen Refinery,2020-01-01,52.560863,7.308683,51.20844758,1116963.169,9.779094882,0.2742898386505972
BP Emsland Lingen Refinery,2021-01-01,52.560863,7.308683,49.95909826,1089712.251,9.540511092,0.26759789919480237
BP Emsland Lingen Refinery,2022-01-01,52.560863,7.308683,52.81104478,1151919.16,10.08513716,0.28287389352131037
Bayernoil Neustadt Refinery,2015-01-01,48.784769,11.755227,60.69410634,1323865.193,11.59053736,0.325098248770557
Bayernoil Neustadt Refinery,2016-01-01,48.784769,11.755227,61.02298495,1331038.722,11.65334213,0.3268598342610857
Bayernoil Neustadt Refinery,2017-01-01,48.784769,11.755227,59.94712001,1307571.862,11.44788804,0.3210971364195814
Bayernoil Neustadt Refinery,2018-01-01,48.784769,11.755227,56.35502522,1229220.774,10.76191849,0.3018566566239412
Bayernoil Neustadt Refinery,2019-01-01,48.784769,11.755227,56.70885244,1236938.484,10.82948761,0.3037518752751947
Bayernoil Neustadt Refinery,2020-01-01,48.784769,11.755227,64.01055947,1396203.961,12.2238686,0.34286229825185455
Bayernoil Neustadt Refinery,2021-01-01,48.784769,11.755227,62.44887283,1362140.314,11.92563886,0.3344973740548949
Bayernoil Neustadt Refinery,2022-01-01,48.784769,11.755227,66.01380598,1439898.95,12.60642145,0.353592366901638
Bayernoil Vohburg Refinery,2015-01-01,48.765667,11.595309,60.92475634,1227595.424,11.93671576,0.3014575235087017
Bayernoil Vohburg Refinery,2016-01-01,48.765667,11.595309,61.25488475,1234247.304,12.00139635,0.30309100896512603
Bayernoil Vohburg Refinery,2017-01-01,48.765667,11.595309,60.17493131,1212486.923,11.78980588,0.29774736688352615
Bayernoil Vohburg Refinery,2018-01-01,48.765667,11.595309,56.56918583,1139833.425,11.08334826,0.2799060299469978
Bayernoil Vohburg Refinery,2019-01-01,48.765667,11.595309,56.92435765,1146989.913,11.15293549,0.28166343072197797
Bayernoil Vohburg Refinery,2020-01-01,48.765667,11.595309,64.25381267,1294673.81,12.58896292,0.3179297942008094
Bayernoil Vohburg Refinery,2021-01-01,48.765667,11.595309,62.68619129,1263087.228,12.28182585,0.31017315663140727
Bayernoil Vohburg Refinery,2022-01-01,48.765667,11.595309,66.26467192,1335191.356,12.9829416,0.32787958615751994
Dow Chemical Buna SOW Leuna Refinery,2015-01-01,51.19185,12.35685,134.7409161,2938980.729,25.73099294,0.7217181124032429
Dow Chemical Buna SOW Leuna Refinery,2016-01-01,51.19185,12.35685,135.4710266,2954905.964,25.87041954,0.7256288323444686
Dow Chemical Buna SOW Leuna Refinery,2017-01-01,51.19185,12.35685,133.0826064,2902809.533,25.41431144,0.7128356426943074
Dow Chemical Buna SOW Leuna Refinery,2018-01-01,51.19185,12.35685,125.108156,2728870.118,23.89145904,0.6701217776363905
Dow Chemical Buna SOW Leuna Refinery,2019-01-01,51.19185,12.35685,125.8936524,2746003.434,24.0414625,0.6743291629930599
